Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
3/1/2018,1.993256,1.993256,2.012608,1.973904,1.973904,-0.019352,-0.970873786,1.981703111,1.973904,2.012608,27.43902439,0.054376,-,-,27.43902439,0.054376,-,-,-,-,-,1.04,1.896496,-,-,329.6383409,0.016430734,-,-,1,323174844,-,-
4/1/2018,1.973904,1.993256,1.993256,1.973904,1.993256,0.019352,0.980392157,1.988969165,1.973904,1.993256,32.65812319,0.064956,-,-,32.68396031,0.065007,-,-,-,-,-,1.05,1.896496,-,-,332.8700893,0.019571449,-,-,1,323174844,-,-
5/1/2018,1.993256,1.973904,1.993256,1.954552,1.993256,0,0,1.972776152,1.973904,1.993256,106.3972716,0.209898,-,-,106.3972716,0.209898,-,-,-,-,-,1.05,1.896496,-,-,332.8700893,0.063711642,-,-,1,323174844,-,-
8/1/2018,1.993256,1.993256,1.993256,1.915848,1.9352,-0.058056,-2.912621359,1.946410174,1.915848,1.9352,140.1405539,0.272771,-,-,140.1405539,0.272771,-,-,-,-,-,1.02,1.896496,-,-,323.174844,0.083917423,-,-,1,323174844,-,-
9/1/2018,1.9352,1.9352,1.973904,1.915848,1.9352,0,0,1.940467156,1.915848,1.9352,93.78875568,0.181994,-,-,93.80580819,0.18201875,-,-,-,-,-,1.02,1.896496,-,-,323.174844,0.056171761,-,-,1,323174844,-,-
10/1/2018,1.9352,1.9352,1.9352,1.915848,1.9352,0,0,1.931285937,1.915848,1.9352,128.2554775,0.247698,-,-,128.2554775,0.247698,-,-,-,-,-,1.02,1.896496,-,-,323.174844,0.076800532,-,-,1,323174844,-,-
11/1/2018,1.9352,1.9352,1.9352,1.915848,1.915848,-0.019352,-1,1.934836241,1.915848,1.9352,13.74534932,0.026595,-,-,13.74534932,0.026595,-,-,-,-,-,1.01,1.896496,-,-,319.9430956,0.008230839,-,-,1,323174844,-,-
12/1/2018,1.915848,1.9352,1.9352,1.896496,1.915848,0,0,1.925416156,1.896496,1.915848,166.9078131,0.321367,-,-,166.9078131,0.321367,-,-,-,-,-,1.01,1.896496,-,-,319.9430956,0.099945898,-,-,1,323174844,-,-
15/1/2018,1.915848,1.915848,1.9352,1.896496,1.896496,-0.019352,-1.01010101,1.900705688,1.877144,1.896496,31.83133526,0.060502,-,-,31.83133526,0.060502,-,-,-,-,-,1,1.896496,-,-,316.7113471,0.01906089,-,-,1,323174844,-,-
16/1/2018,1.896496,1.896496,1.915848,1.83844,1.83844,-0.058056,-3.06122449,1.860120487,1.819088,1.83844,211.2959901,0.393036,-,-,211.3300951,0.39308352,-,-,-,-,-,0.97,1.896496,-,-,307.0161018,0.12654636,-,-,1,323174844,-,-
17/1/2018,1.83844,1.819088,1.819088,1.702976,1.702976,-0.135464,-7.368421053,1.757574198,1.702976,1.722328,478.9169078,0.841732,-,-,478.9169078,0.841732,-,-,-,-,-,0.9,1.896496,-,-,284.3938627,0.286779747,-,-,1,323174844,-,-
18/1/2018,1.702976,1.702976,1.74168,1.64492,1.64492,-0.058056,-3.409090909,1.678432,1.64492,1.664272,254.2372881,0.42672,-,-,254.2372881,0.42672,-,-,-,-,-,0.87,1.896496,-,-,274.6986174,0.152239572,-,-,1,323174844,-,-
19/1/2018,1.64492,1.64492,1.664272,1.567512,1.567512,-0.077408,-4.705882353,1.605301364,1.567512,1.586864,470.1322861,0.754704,-,-,470.1328028,0.7547049,-,-,-,-,-,0.83,1.896496,-,-,261.7716236,0.281519746,-,-,1,323174844,-,-
22/1/2018,1.567512,1.567512,1.625568,1.567512,1.625568,0.058056,3.703703704,1.608904436,1.606216,1.625568,168.8714345,0.271698,-,-,168.8714345,0.271698,-,-,-,-,-,0.86,1.896496,-,-,271.466869,0.101121732,-,-,1,323174844,-,-
23/1/2018,1.625568,1.625568,1.625568,1.606216,1.606216,-0.019352,-1.19047619,1.611584192,1.606216,1.625568,120.7110376,0.194536,-,-,120.7275734,0.19455584,-,-,-,-,-,0.85,1.896496,-,-,268.2351205,0.072292756,-,-,1,323174844,-,-
24/1/2018,1.606216,1.625568,2.070664,1.606216,2.070664,0.464448,28.91566265,1.999726047,2.070664,0,9907.193055,19.811672,-,-,9907.256614,19.81179991,-,-,-,-,-,1.09,1.896496,-,-,345.7970831,5.932554268,-,-,1,323174844,-,-
25/1/2018,2.070664,2.32224,2.360944,2.090016,2.12872,0.058056,2.803738318,2.244799387,2.12872,2.148072,11712.94957,26.293222,-,-,11713.05343,26.29345138,-,-,-,-,-,1.12,1.896496,-,-,355.4923284,7.013881625,-,-,1,323174844,-,-
26/1/2018,2.12872,2.12872,2.264184,2.03196,2.03196,-0.09676,-4.545454545,2.171440604,2.03196,2.051312,4232.430757,9.190472,-,-,4232.430757,9.190472,-,-,-,-,-,1.07,1.896496,-,-,339.3335862,2.534417561,-,-,1,323174844,-,-
29/1/2018,2.03196,2.051312,2.12872,1.993256,1.993256,-0.038704,-1.904761905,2.048293896,1.993256,2.012608,1594.047127,3.265077,-,-,1594.047127,3.265077,-,-,-,-,-,1.05,1.896496,-,-,332.8700893,0.954529741,-,-,1,323174844,-,-
30/1/2018,1.993256,1.993256,2.070664,1.954552,1.973904,-0.019352,-0.970873786,1.997707574,1.973904,1.993256,1530.694502,3.05788,-,-,1530.694502,3.05788,-,-,-,-,-,1.04,1.896496,-,-,329.6383409,0.91659362,-,-,1,323174844,-,-
31/1/2018,1.973904,1.993256,2.090016,1.973904,1.993256,0.019352,0.980392157,2.028951123,1.993256,2.012608,3361.719719,6.820765,-,-,3361.719719,6.820765,-,-,-,-,-,1.05,1.896496,-,-,332.8700893,2.013027969,-,-,1,323174844,-,-
1/2/2018,1.993256,1.993256,2.012608,1.915848,1.9352,-0.058056,-2.912621359,1.961339011,1.915848,1.9352,886.988425,1.739685,-,-,886.988425,1.739685,-,-,-,-,-,1.02,1.896496,-,-,323.174844,0.531136638,-,-,1,323174844,-,-
